#,Linear ID,Refined Feature Name,Original Name,Strategy,Theme,Category,Value Proposition,Complexity,Raw Input
1,ROUTE-631,Add EMR Safety Rating to Profiles,Profile - EMR Rating,-,Trust/Vetting,Profile,Allows primes to filter subs by safety record,Medium,
2,ROUTE-621,Platform Polish & Data Formatting,Jacks Big Beautiful Feedback,-,UX/Data,Profile,Adds commas to currency fields; Union/W2/1099 clarity,Low,
3,-,Anonymous Opportunity Posting,Anynomous Posting,-,Privacy,Opportunity,Hides client name until contract is awarded,Low,
4,-,Unique Opportunity IDs & Version Tracking,Adding Unique Opportunity #'s,-,Operations,Opportunity,Assigns ROU-XXXXX.01 for tracking and billing,Low,
5,ROUTE-619,Fix Invitation Email Template,Loops Invitation Email Template Updates,-,Notifications,Email,Fixes spacing bugs; adds inviter name and support footer,Low,
6,ROUTE-618,AI Call Bot Integration (autogenz.ai),AI Call Bots - autogenz.ai,Next,Automation,Integration,24/7 lead capture and appointment scheduling,High,
7,ROUTE-617,Public Profile Landing Page (Bluebook-style),Profile Bluebook Comparisson,-,Profile,Profile,SEO-friendly storefront for contractor qualifications,Medium,
8,ROUTE-616,Unsaved Changes Warning + Public/Private Labels,Feedback from AZ Opportunity Posting,-,UX,Opportunity,Prevents data loss; clarifies which fields are public,Low,
9,ROUTE-615,Bulk Opportunity CSV Import (25-250+ locations),Large-Scale Opportunity Posting,-,Automation,Opportunity,Enables enterprise opportunity posting via CSV template,High,
10,ROUTE-610,Scope of Work (SOW) Templates,Contract Posting Options and Scope Detail,-,Operations,Opportunity,Provides global SOW + location-specific addendums,Medium,
11,ROUTE-609,Add Minimum Wage Tracker Link,Minimum Wage Tracker Reference Link,-,Compliance,Reference,Links to EPI tracker for local wage education,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1757096232753199)

> ""@Ernesto This should be a reference link we include as part of posting a contract, reviewing a contract just so everyone is on the same page (educating someone that is outside a market) as to the local minimum wage. This tracker shows both min wage and tipped wages. Thoughts?[https://www.epi.org/minimum-wage-tracker/#/min_wage/New%20Jersey](https://www.epi.org/minimum-wage-tracker/#/min_wage/New%20Jersey)"""
12,-,Add Sales Tax Reference Link,Tool: Sales tax by state reference link,-,Compliance,Reference,Quick reference for state sales tax rates,Low,
13,ROUTE-607,AI-Powered COI Scanning,COI Compliance and AI Text Scanning MVP,-,Automation,Vetting,Validates expiration date + company name match,Medium,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1757041174340829)

> ""We’re not exploring this yet. 1st is a 3rd party for compliance and reverence for the COI and other legal documents My COI, VendorPM
>
> Ernesto Sep 5th at 8:35 AM @The Ricardo Regalado Yea the mvp is doing a simple Ai driven text scan validating the documents provided are not expired and match the business profile. 1
>
> 8:36 I don’t expect us to do any integrations on this front until next year sometime."""
